Order ID,Date,Customer ID,Item Code,Dish,Category,Quantity,Unit Price (₦),Discount %,Revenue (₦),Unit Cost (₦),Total Cost (₦),Gross Profit (₦),Order Channel,Payment Method,Meal Period,Hour,Rating
ORD-00250,46024,CUST-0529,FD007,Amala & Ewedu,Swallow,2,2500,0,5000,1250,2500,2500,Walk-in,Cash,Lunch,15,3
ORD-00263,46024,CUST-0548,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,POS,Dinner,17,4
ORD-00720,46024,CUST-0253,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Walk-in,Transfer,Lunch,12,
ORD-00755,46024,CUST-0031,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Delivery,POS,Lunch,13,5
ORD-00816,46024,CUST-0203,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Walk-in,Transfer,Dinner,17,4
ORD-00980,46024,CUST-0528,FD001,White Rice & Stew,Rice Meals,3,1800,0.05,5130,820,2460,2670,Walk-in,Transfer,Breakfast,9,4
ORD-01483,46024,CUST-0058,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Walk-in,Cash,Breakfast,10,5
ORD-00568,46025,CUST-0221,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Walk-in,POS,Lunch,15,5
ORD-00599,46025,CUST-0442,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Delivery,POS,Lunch,12,4
ORD-00669,46025,CUST-0602,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Takeaway,POS,Dinner,19,4
ORD-00711,46025,CUST-0359,FD004,Beans & Plantain,Traditional Meals,1,2000,0,2000,960,960,1040,Walk-in,Transfer,Dinner,18,4
ORD-01577,46025,CUST-0113,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0,6400,1710,3420,2980,Takeaway,POS,Breakfast,8,5
ORD-00323,46026,CUST-0599,FD008,Pounded Yam & Vegetable Soup,Swallow,4,3200,0,12800,1710,6840,5960,Delivery,Transfer,Breakfast,9,3
ORD-00378,46026,CUST-0607,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0,11200,1450,5800,5400,Walk-in,Cash,Lunch,13,3
ORD-00666,46026,CUST-0615,FD004,Beans & Plantain,Traditional Meals,1,2000,0,2000,960,960,1040,Delivery,Transfer,Lunch,14,5
ORD-00678,46026,CUST-0086,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,POS,Dinner,19,
ORD-01350,46026,CUST-0310,FD003,Fried Rice & Chicken,Rice Meals,1,3000,0,3000,1580,1580,1420,Delivery,POS,Dinner,16,5
ORD-01753,46026,CUST-0460,FD003,Fried Rice & Chicken,Rice Meals,1,3000,0,3000,1580,1580,1420,Walk-in,Transfer,Breakfast,10,5
ORD-01788,46026,CUST-0574,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Walk-in,Cash,Lunch,13,5
ORD-00672,46027,CUST-0281,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Takeaway,Cash,Lunch,13,5
ORD-00712,46027,CUST-0049,FD005,Yam Porridge,Traditional Meals,3,2200,0,6600,1050,3150,3450,Walk-in,POS,Breakfast,9,4
ORD-01381,46027,CUST-0035,FD005,Yam Porridge,Traditional Meals,1,2200,0,2200,1050,1050,1150,Walk-in,Transfer,Lunch,13,5
ORD-01490,46027,CUST-0425,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,Cash,Dinner,18,4
ORD-01668,46027,CUST-0167,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Walk-in,POS,Breakfast,10,4
ORD-00004,46028,CUST-0167,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Takeaway,Transfer,Lunch,13,4
ORD-00017,46028,CUST-0618,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Takeaway,POS,Lunch,11,3
ORD-00077,46028,CUST-0562,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Walk-in,POS,Lunch,11,4
ORD-00314,46028,CUST-0015,FD004,Beans & Plantain,Traditional Meals,2,2000,0,4000,960,1920,2080,Delivery,Transfer,Dinner,20,4
ORD-00641,46028,CUST-0093,FD008,Pounded Yam & Vegetable Soup,Swallow,4,3200,0,12800,1710,6840,5960,Walk-in,Cash,Lunch,12,3
ORD-00751,46028,CUST-0221,FD004,Beans & Plantain,Traditional Meals,1,2000,0,2000,960,960,1040,Delivery,Cash,Lunch,11,3
ORD-00769,46028,CUST-0385,FD001,White Rice & Stew,Rice Meals,1,1800,0,1800,820,820,980,Takeaway,POS,Lunch,12,3
ORD-01030,46028,CUST-0503,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0,11200,1450,5800,5400,Delivery,POS,Lunch,12,5
ORD-01048,46028,CUST-0089,FD004,Beans & Plantain,Traditional Meals,2,2000,0,4000,960,1920,2080,Walk-in,Transfer,Breakfast,10,3
ORD-01383,46028,CUST-0038,FD005,Yam Porridge,Traditional Meals,4,2200,0,8800,1050,4200,4600,Takeaway,Cash,Dinner,17,5
ORD-01394,46028,CUST-0020,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Takeaway,POS,Lunch,14,5
ORD-01484,46028,CUST-0211,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0,6400,1710,3420,2980,Walk-in,Transfer,Breakfast,10,3
ORD-01500,46028,CUST-0319,FD006,Eba & Egusi Soup,Swallow,4,2600,0,10400,1320,5280,5120,Delivery,Transfer,Breakfast,10,5
ORD-01585,46028,CUST-0437,FD007,Amala & Ewedu,Swallow,3,2500,0,7500,1250,3750,3750,Walk-in,POS,Lunch,13,
ORD-00018,46029,CUST-0473,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Takeaway,POS,Lunch,11,4
ORD-00392,46029,CUST-0582,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Walk-in,Transfer,Lunch,15,5
ORD-00556,46029,CUST-0503,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Walk-in,Transfer,Lunch,13,4
ORD-00918,46029,CUST-0496,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0.05,11400,1580,6320,5080,Takeaway,Transfer,Lunch,11,5
ORD-01006,46029,CUST-0218,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Delivery,Cash,Lunch,12,4
ORD-01604,46029,CUST-0145,FD004,Beans & Plantain,Traditional Meals,2,2000,0,4000,960,1920,2080,Walk-in,Cash,Lunch,12,3
ORD-01779,46029,CUST-0059,FD005,Yam Porridge,Traditional Meals,1,2200,0,2200,1050,1050,1150,Walk-in,Cash,Lunch,14,4
ORD-00269,46030,CUST-0123,FD005,Yam Porridge,Traditional Meals,3,2200,0,6600,1050,3150,3450,Walk-in,POS,Lunch,13,5
ORD-00405,46030,CUST-0319,FD009,Moi Moi,Sides,2,900,0,1800,380,760,1040,Takeaway,Cash,Lunch,11,4
ORD-00548,46030,CUST-0082,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Walk-in,POS,Lunch,12,5
ORD-00965,46030,CUST-0197,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0.05,7980,1450,4350,3630,Walk-in,Cash,Lunch,14,4
ORD-00616,46031,CUST-0496,FD001,White Rice & Stew,Rice Meals,1,1800,0,1800,820,820,980,Delivery,Transfer,Lunch,11,4
ORD-00709,46031,CUST-0307,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Takeaway,Transfer,Lunch,12,4
ORD-00895,46031,CUST-0346,FD005,Yam Porridge,Traditional Meals,2,2200,0,4400,1050,2100,2300,Walk-in,Transfer,Lunch,13,3
ORD-01327,46031,CUST-0322,FD006,Eba & Egusi Soup,Swallow,1,2600,0,2600,1320,1320,1280,Takeaway,POS,Lunch,15,4
ORD-01489,46031,CUST-0616,FD006,Eba & Egusi Soup,Swallow,3,2600,0,7800,1320,3960,3840,Walk-in,POS,Dinner,17,3
ORD-01613,46031,CUST-0385,FD007,Amala & Ewedu,Swallow,1,2500,0,2500,1250,1250,1250,Walk-in,POS,Lunch,11,5
ORD-01715,46031,CUST-0335,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0,6400,1710,3420,2980,Walk-in,POS,Dinner,16,5
ORD-01765,46031,CUST-0124,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,POS,Lunch,13,
ORD-00016,46032,CUST-0365,FD012,Fried Plantain,Sides,4,700,0.05,2660,300,1200,1460,Takeaway,Transfer,Lunch,15,5
ORD-00357,46032,CUST-0269,FD006,Eba & Egusi Soup,Swallow,1,2600,0,2600,1320,1320,1280,Walk-in,Transfer,Breakfast,8,5
ORD-00674,46032,CUST-0337,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Takeaway,Transfer,Dinner,18,5
ORD-00830,46032,CUST-0472,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Walk-in,Transfer,Breakfast,9,
ORD-01058,46032,CUST-0116,FD007,Amala & Ewedu,Swallow,1,2500,0,2500,1250,1250,1250,Walk-in,Transfer,Dinner,20,4
ORD-01187,46032,CUST-0079,FD001,White Rice & Stew,Rice Meals,3,1800,0,5400,820,2460,2940,Walk-in,POS,Lunch,11,4
ORD-01213,46032,CUST-0295,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Walk-in,POS,Dinner,19,5
ORD-01365,46032,CUST-0359,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0,6400,1710,3420,2980,Walk-in,Transfer,Lunch,11,4
ORD-01533,46032,CUST-0287,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Takeaway,POS,Lunch,14,5
ORD-01592,46032,CUST-0036,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Walk-in,Transfer,Lunch,11,4
ORD-01698,46032,CUST-0471,FD007,Amala & Ewedu,Swallow,2,2500,0,5000,1250,2500,2500,Walk-in,POS,Lunch,15,4
ORD-00353,46033,CUST-0585,FD005,Yam Porridge,Traditional Meals,2,2200,0,4400,1050,2100,2300,Delivery,Transfer,Breakfast,9,
ORD-00360,46033,CUST-0299,FD006,Eba & Egusi Soup,Swallow,3,2600,0,7800,1320,3960,3840,Walk-in,Transfer,Dinner,16,5
ORD-00583,46033,CUST-0641,FD005,Yam Porridge,Traditional Meals,4,2200,0,8800,1050,4200,4600,Walk-in,Cash,Breakfast,8,4
ORD-00897,46033,CUST-0247,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Takeaway,POS,Breakfast,10,5
ORD-00192,46034,CUST-0601,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Walk-in,Cash,Lunch,11,3
ORD-00701,46034,CUST-0322,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Delivery,POS,Dinner,19,4
ORD-00813,46034,CUST-0441,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Takeaway,POS,Lunch,14,4
ORD-00928,46034,CUST-0645,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Delivery,POS,Lunch,14,4
ORD-00934,46034,CUST-0616,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Takeaway,POS,Lunch,13,5
ORD-00970,46034,CUST-0240,FD005,Yam Porridge,Traditional Meals,1,2200,0,2200,1050,1050,1150,Takeaway,POS,Lunch,13,5
ORD-01157,46034,CUST-0147,FD012,Fried Plantain,Sides,2,700,0,1400,300,600,800,Walk-in,Cash,Breakfast,8,5
ORD-01595,46034,CUST-0187,FD007,Amala & Ewedu,Swallow,4,2500,0,10000,1250,5000,5000,Walk-in,Transfer,Lunch,13,4
ORD-01699,46034,CUST-0014,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Walk-in,Transfer,Dinner,17,4
ORD-00288,46035,CUST-0581,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Delivery,Transfer,Dinner,19,5
ORD-00303,46035,CUST-0145,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Delivery,POS,Lunch,13,
ORD-00632,46035,CUST-0155,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0.1,7560,1450,4350,3210,Walk-in,Transfer,Dinner,19,5
ORD-01218,46035,CUST-0154,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Takeaway,Transfer,Lunch,13,5
ORD-01374,46035,CUST-0267,FD006,Eba & Egusi Soup,Swallow,4,2600,0,10400,1320,5280,5120,Walk-in,POS,Dinner,19,4
ORD-00279,46036,CUST-0561,FD007,Amala & Ewedu,Swallow,2,2500,0,5000,1250,2500,2500,Delivery,Transfer,Lunch,11,4
ORD-00311,46036,CUST-0491,FD007,Amala & Ewedu,Swallow,2,2500,0,5000,1250,2500,2500,Walk-in,Cash,Dinner,19,5
ORD-00407,46036,CUST-0387,FD006,Eba & Egusi Soup,Swallow,3,2600,0,7800,1320,3960,3840,Delivery,Cash,Breakfast,9,4
ORD-00607,46036,CUST-0359,FD009,Moi Moi,Sides,4,900,0,3600,380,1520,2080,Walk-in,Cash,Breakfast,10,4
ORD-00628,46036,CUST-0220,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Takeaway,Transfer,Lunch,11,5
ORD-00776,46036,CUST-0101,FD001,White Rice & Stew,Rice Meals,3,1800,0,5400,820,2460,2940,Walk-in,Transfer,Dinner,17,4
ORD-01266,46036,CUST-0116,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Delivery,Transfer,Dinner,20,5
ORD-01283,46036,CUST-0419,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,Transfer,Lunch,12,4
ORD-01330,46036,CUST-0532,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Takeaway,Cash,Lunch,13,4
ORD-01480,46036,CUST-0603,FD012,Fried Plantain,Sides,2,700,0,1400,300,600,800,Walk-in,Transfer,Dinner,17,5
ORD-01511,46036,CUST-0031,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,POS,Lunch,14,5
ORD-01579,46036,CUST-0410,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Walk-in,Cash,Dinner,20,4
ORD-01655,46036,CUST-0226,FD012,Fried Plantain,Sides,4,700,0,2800,300,1200,1600,Walk-in,Transfer,Lunch,15,5
ORD-00528,46037,CUST-0163,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Walk-in,Transfer,Lunch,14,4
ORD-00653,46037,CUST-0615,FD010,Soft Drink,Beverages,4,600,0,2400,280,1120,1280,Walk-in,Transfer,Dinner,18,4
ORD-00759,46037,CUST-0211,FD007,Amala & Ewedu,Swallow,2,2500,0.05,4750,1250,2500,2250,Walk-in,Transfer,Lunch,14,4
ORD-00815,46037,CUST-0108,FD009,Moi Moi,Sides,4,900,0,3600,380,1520,2080,Walk-in,Cash,Dinner,20,5
ORD-00851,46037,CUST-0203,FD011,Bottled Water,Beverages,4,300,0,1200,120,480,720,Walk-in,Transfer,Breakfast,10,4
ORD-01234,46037,CUST-0616,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0,2800,1450,1450,1350,Walk-in,Transfer,Dinner,17,5
ORD-01341,46037,CUST-0219,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0,11200,1450,5800,5400,Takeaway,POS,Lunch,15,4
ORD-01462,46037,CUST-0338,FD001,White Rice & Stew,Rice Meals,3,1800,0.05,5130,820,2460,2670,Takeaway,Cash,Dinner,19,4
ORD-01654,46037,CUST-0224,FD004,Beans & Plantain,Traditional Meals,2,2000,0,4000,960,1920,2080,Delivery,Cash,Lunch,15,4
ORD-00206,46038,CUST-0370,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0.05,7980,1450,4350,3630,Walk-in,POS,Lunch,15,4
ORD-00328,46038,CUST-0643,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0,11200,1450,5800,5400,Walk-in,POS,Breakfast,10,3
ORD-00609,46038,CUST-0395,FD010,Soft Drink,Beverages,2,600,0,1200,280,560,640,Walk-in,Transfer,Dinner,20,4
ORD-00865,46038,CUST-0420,FD001,White Rice & Stew,Rice Meals,1,1800,0,1800,820,820,980,Walk-in,Transfer,Breakfast,9,5
ORD-00997,46038,CUST-0230,FD010,Soft Drink,Beverages,1,600,0,600,280,280,320,Walk-in,Transfer,Lunch,12,4
ORD-01162,46038,CUST-0628,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,Transfer,Breakfast,8,5
ORD-01669,46038,CUST-0362,FD010,Soft Drink,Beverages,4,600,0,2400,280,1120,1280,Walk-in,Transfer,Lunch,15,4
ORD-01679,46038,CUST-0074,FD008,Pounded Yam & Vegetable Soup,Swallow,3,3200,0,9600,1710,5130,4470,Walk-in,POS,Lunch,14,5
ORD-00158,46039,CUST-0115,FD006,Eba & Egusi Soup,Swallow,2,2600,0,5200,1320,2640,2560,Delivery,Transfer,Breakfast,9,4
ORD-00234,46039,CUST-0418,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0,12000,1580,6320,5680,Takeaway,Cash,Dinner,17,5
ORD-00560,46039,CUST-0492,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,Cash,Dinner,20,3
ORD-00728,46039,CUST-0231,FD005,Yam Porridge,Traditional Meals,2,2200,0,4400,1050,2100,2300,Walk-in,Transfer,Lunch,11,4
ORD-01427,46039,CUST-0023,FD007,Amala & Ewedu,Swallow,4,2500,0,10000,1250,5000,5000,Walk-in,Cash,Breakfast,9,5
ORD-01569,46039,CUST-0038,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Walk-in,Transfer,Lunch,11,4
ORD-01656,46039,CUST-0630,FD005,Yam Porridge,Traditional Meals,3,2200,0,6600,1050,3150,3450,Walk-in,Transfer,Dinner,18,5
ORD-01795,46039,CUST-0229,FD004,Beans & Plantain,Traditional Meals,1,2000,0,2000,960,960,1040,Walk-in,Cash,Dinner,16,3
ORD-00283,46040,CUST-0490,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Delivery,Cash,Lunch,13,
ORD-00299,46040,CUST-0276,FD001,White Rice & Stew,Rice Meals,3,1800,0,5400,820,2460,2940,Takeaway,Transfer,Dinner,19,5
ORD-00631,46040,CUST-0567,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Walk-in,Cash,Dinner,17,4
ORD-00775,46040,CUST-0080,FD006,Eba & Egusi Soup,Swallow,2,2600,0.1,4680,1320,2640,2040,Takeaway,POS,Lunch,13,4
ORD-00804,46040,CUST-0021,FD003,Fried Rice & Chicken,Rice Meals,4,3000,0.05,11400,1580,6320,5080,Walk-in,POS,Lunch,11,5
ORD-00954,46040,CUST-0318,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Walk-in,Transfer,Breakfast,8,3
ORD-01045,46040,CUST-0371,FD005,Yam Porridge,Traditional Meals,4,2200,0,8800,1050,4200,4600,Walk-in,Cash,Dinner,18,5
ORD-01635,46040,CUST-0600,FD003,Fried Rice & Chicken,Rice Meals,1,3000,0,3000,1580,1580,1420,Walk-in,Cash,Dinner,20,
ORD-00079,46041,CUST-0418,FD009,Moi Moi,Sides,4,900,0,3600,380,1520,2080,Takeaway,Transfer,Lunch,12,4
ORD-00322,46041,CUST-0491,FD001,White Rice & Stew,Rice Meals,1,1800,0.05,1710,820,820,890,Walk-in,POS,Lunch,12,5
ORD-00432,46041,CUST-0439,FD006,Eba & Egusi Soup,Swallow,2,2600,0,5200,1320,2640,2560,Walk-in,Transfer,Dinner,17,3
ORD-00636,46041,CUST-0031,FD003,Fried Rice & Chicken,Rice Meals,1,3000,0,3000,1580,1580,1420,Walk-in,Cash,Lunch,11,5
ORD-01011,46041,CUST-0644,FD007,Amala & Ewedu,Swallow,4,2500,0,10000,1250,5000,5000,Takeaway,POS,Dinner,18,5
ORD-01013,46041,CUST-0031,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,POS,Lunch,15,4
ORD-01129,46041,CUST-0397,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Walk-in,Transfer,Dinner,16,
ORD-01309,46041,CUST-0305,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Takeaway,Transfer,Lunch,12,5
ORD-01713,46041,CUST-0416,FD004,Beans & Plantain,Traditional Meals,3,2000,0.05,5700,960,2880,2820,Delivery,Cash,Lunch,12,5
ORD-00506,46042,CUST-0493,FD012,Fried Plantain,Sides,3,700,0,2100,300,900,1200,Delivery,Cash,Dinner,18,3
ORD-00536,46042,CUST-0187,FD006,Eba & Egusi Soup,Swallow,4,2600,0,10400,1320,5280,5120,Delivery,Cash,Lunch,13,4
ORD-00907,46042,CUST-0282,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Walk-in,POS,Lunch,12,4
ORD-01320,46042,CUST-0552,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,Transfer,Lunch,11,4
ORD-01340,46042,CUST-0057,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Walk-in,POS,Lunch,15,5
ORD-01418,46042,CUST-0339,FD006,Eba & Egusi Soup,Swallow,3,2600,0,7800,1320,3960,3840,Walk-in,POS,Lunch,15,4
ORD-00749,46043,CUST-0449,FD005,Yam Porridge,Traditional Meals,2,2200,0,4400,1050,2100,2300,Walk-in,Cash,Lunch,14,5
ORD-00887,46043,CUST-0330,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Delivery,POS,Lunch,11,5
ORD-00987,46043,CUST-0480,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Walk-in,POS,Lunch,14,5
ORD-01175,46043,CUST-0624,FD004,Beans & Plantain,Traditional Meals,1,2000,0,2000,960,960,1040,Walk-in,Cash,Lunch,11,3
ORD-01240,46043,CUST-0095,FD002,Jollof Rice & Chicken,Rice Meals,2,2800,0,5600,1450,2900,2700,Walk-in,Transfer,Breakfast,9,5
ORD-01448,46043,CUST-0248,FD012,Fried Plantain,Sides,2,700,0,1400,300,600,800,Walk-in,Transfer,Lunch,15,5
ORD-01642,46043,CUST-0500,FD008,Pounded Yam & Vegetable Soup,Swallow,1,3200,0,3200,1710,1710,1490,Walk-in,POS,Dinner,20,3
ORD-00831,46044,CUST-0610,FD006,Eba & Egusi Soup,Swallow,3,2600,0,7800,1320,3960,3840,Walk-in,POS,Lunch,14,4
ORD-01105,46044,CUST-0188,FD002,Jollof Rice & Chicken,Rice Meals,3,2800,0,8400,1450,4350,4050,Delivery,POS,Dinner,20,5
ORD-01116,46044,CUST-0471,FD004,Beans & Plantain,Traditional Meals,3,2000,0,6000,960,2880,3120,Takeaway,POS,Dinner,16,4
ORD-01791,46044,CUST-0350,FD002,Jollof Rice & Chicken,Rice Meals,4,2800,0.05,10640,1450,5800,4840,Takeaway,Cash,Breakfast,8,4
ORD-00107,46045,CUST-0004,FD008,Pounded Yam & Vegetable Soup,Swallow,2,3200,0.05,6080,1710,3420,2660,Walk-in,Transfer,Lunch,14,5
ORD-00213,46045,CUST-0618,FD007,Amala & Ewedu,Swallow,1,2500,0,2500,1250,1250,1250,Walk-in,Transfer,Lunch,11,5
ORD-00517,46045,CUST-0569,FD001,White Rice & Stew,Rice Meals,4,1800,0.05,6840,820,3280,3560,Walk-in,Cash,Lunch,14,5
ORD-00727,46045,CUST-0132,FD001,White Rice & Stew,Rice Meals,2,1800,0,3600,820,1640,1960,Takeaway,POS,Lunch,11,4
ORD-00842,46045,CUST-0013,FD006,Eba & Egusi Soup,Swallow,2,2600,0,5200,1320,2640,2560,Walk-in,Transfer,Lunch,13,5
ORD-00863,46045,CUST-0248,FD002,Jollof Rice & Chicken,Rice Meals,1,2800,0.05,2660,1450,1450,1210,Delivery,POS,Lunch,14,5
ORD-01053,46045,CUST-0402,FD006,Eba & Egusi Soup,Swallow,1,2600,0,2600,1320,1320,1280,Delivery,Cash,Lunch,13,5
ORD-01499,46045,CUST-0567,FD006,Eba & Egusi Soup,Swallow,2,2600,0,5200,1320,2640,2560,Walk-in,Cash,Lunch,12,5
ORD-01617,46045,CUST-0635,FD001,White Rice & Stew,Rice Meals,4,1800,0,7200,820,3280,3920,Takeaway,Transfer,Lunch,14,4
ORD-01671,46045,CUST-0467,FD003,Fried Rice & Chicken,Rice Meals,2,3000,0,6000,1580,3160,2840,Walk-in,Transfer,Lunch,14,5
ORD-00309,46046,CUST-0392,FD007,Amala & Ewedu,Swallow,2,2500,0,5000,1250,2500,2500,Walk-in,POS,Lunch,14,5
ORD-00574,46046,CUST-0322,FD003,Fried Rice & Chicken,Rice Meals,3,3000,0,9000,1580,4740,4260,Delivery,Cash,Lunch,15,4
